id,question_text,old_order_index,new_order_index
310a78b1-07dd-469a-96cf-5b9906573767,"What thing, person or moment filled you with gratitude recently?",1,1
4b64fd85-be4e-42b5-b521-90b388ff1e2f,What went well recently and why?,2,2
7076e8d2-9368-4617-b330-4e1ebc91791a,How are you feeling? Mind and body,3,3
65b1da3b-b833-438f-8d87-7f0712e6c23f,"If you dream, what would you like to dream about tonight?",4,4
8e2677d8-920a-4c34-9aaf-912ea41b2aa5,How was your time management recently? Anything to improve?,5,5
05cac0c1-456c-4091-9829-5956bfd7a6c4,"Relationshipwise, which is going well or which needs more attention?",9,6
d677532d-4351-46a4-aaf1-5cb9d80ae307,How have you handled criticism recently? Positively or Negatively?,11,7
6925114a-73fe-4d17-89ce-98fda448ae29,When was your last meditative/spiritual moment? How did you feel?,14,8
a499c315-d9fb-45e5-92e0-8c7501058850,When was the last time you were outdoors? What was enjoyable about it?,17,9
10a0c27e-81c5-4fa4-87a7-ad462c69dc46,What is something new you learned about yourself recently?,19,10
a280771c-dc25-489c-ad00-6ca01ec65af7,"When did you feel most focused yesterday or today, and what helped you get there?",29,11
578924a6-3978-4a73-b09e-de9202f0c25b,What motivates you most about your career or daily work right now?,33,12
54ec206f-0aea-437a-8035-783ab69745b8,"What personal boundary have you set recently, and how has it helped you?",34,13
d565ab68-55fe-41bd-90fd-34f39e4a3d6a,What challenge have you been mentally avoiding because it feels too big or too uncertain?,52,14
1afbca3b-27bd-4367-92c6-09487d169f9c,What is something you feel lucky to have in your life?,15,15
17216b23-27d0-474e-af0d-37313659c458,"Did you notice any negative thought patterns lately, and how did you handle them?",38,16
36b7be94-83e6-430e-93c2-5f029edffc48,What progress have you made recently towards your health?,12,17
bc896951-1daa-483e-b31c-5952a5dd2c02,"What is your ""go-to"" book, movie or show? Why?",8,18
c9087154-b4e3-4200-80c2-d4a051979d08,Were you satisfied with what you accomplished today or yesterday?,6,19
9eaad0ee-383a-4926-9239-f63b594dba73,"Who made you feel supported or understood recently, and how did they do so?",22,20
7408f773-94b3-4584-8975-7549b7fd23e7,What was your most recent failure? Were you able to bounce back?,18,21
713af75e-c7ff-43a4-adb0-9f35e4895b33,"When did you last feel truly at peace, and what created that feeling?",23,22
9412cc1e-055e-48ef-b464-21bdb28ead5f,How did time spent outdoors (or lack of it) affect you recently?,26,23
cb1db62e-28a1-493d-8428-2d4e94ba5311,"Have you felt more present in the moment recently, or more distracted—why?",36,24
